Ep,n,Season,Series,Rating - Andy,Watch - Andy,Rating - Matt,Watch - Matt,MVC - Andy,MVC - Matt,Joint TNC Rating,IMDB (at time of listen),n_reviews,Other MVC,Director 1,Director 2,Writer 1,Writer 2,Teleplay 1,Teleplay 2,Teleplay 3,Viewers
Haven,10,1,TNG,3.5,,3,No,Picard,Picard,3.25,6.2,,,,,,,,,,10.3
The Big Goodbye,11,1,TNG,4,,3,No,W.Crusher,W.Crusher,3.5,7.3,,,,,,,,,,11.5
Datalore,12,1,TNG,7.5,,7,Yes,W.Crusher,W.Crusher,7.25,7.6,,,,,,,,,,10.3
Angel One,13,1,TNG,2,,1.5,No,B.Crusher,B.Crusher,1.75,5.7,,,,,,,,,,11.4
11001001,14,1,TNG,7,,8,Yes,Picard,Picard,7.5,7.4,,,,,,,,,,10.7
Too Short A Season,15,1,TNG,1,,1,No,Picard,Picard,1,6.1,,,,,,,,,,10.9
When The Bough Breaks,16,1,TNG,1.5,,1.5,No,W.Crusher,W.Crusher,1.5,6.4,,,,,,,,,,10.2
Home Soil,17,1,TNG,2,,2.5,No,Data,La Forge,2.25,6.8,,,,,,,,,,9
Coming of Age,18,1,TNG,7,,3,No,Picard,Picard,5,7.1,,,,,,,,,,10.1
Heart of Glory,19,1,TNG,6,,4,Yes,Worf,Worf,5,7.2,,,,,,,,,,10.7
The Arsenal of Freedom,20,1,TNG,3,,3.5,No,La Forge,La Forge,3.25,7.1,,,,,,,,,,10.4
Symbiosis,21,1,TNG,2,,2,No,B.Crusher,B.Crusher,2,6.9,,,,,,,,,,10.8
Skin of Evil,22,1,TNG,4.5,,4,Yes,Troi,Troi,4.25,6.8,,,,,,,,,,9.7
We'll Always Have Paris,23,1,TNG,2,,1.5,No,Data,Data,1.75,6.5,,,,,,,,,,9.7
Conspiracy,24,1,TNG,8.5,,8,Yes,B.Crusher,B.Crusher,8.25,8.1,,,,,,,,,,9.4
The Neutral Zone,25,1,TNG,4.5,,4.5,Yes,Data,Data,4.5,7.4,,,,,,,,,,10.2
The Child,1,2,TNG,1.5,,2,No,Pulaski,Pulaski,1.75,5.8,,,,,,,,,,10.9
Where Silence Has Lease,2,2,TNG,1.5,,1,No,Picard,Pulaski,1.25,7,,,,,,,,,,10.3
"Elementary, Dear Data",3,2,TNG,7.5,,8,Yes,Picard,Picard,7.75,8.1,,,,,,,,,,
The Outrageous Okona,4,2,TNG,0.5,,3,No,Worf,La Forge,1.75,6.2,,,,,,,,,,
Loud as a Whisper,5,2,TNG,1,,1.5,No,Troi,Data,1.25,6.5,,,,,,,,,,10.7
The Schizoid Man,6,2,TNG,2.5,,2.5,No,Picard,Picard,2.5,6.9,,,,,,,,,,10.8
Unnatural Selection ,7,2,TNG,4,,3,No,O'Brien,O'Brien,3.5,6.5,,,,,,,,,,11
A Matter of Honor,8,2,TNG,9,,7,Yes,Worf,Riker,8,8,,,,,,,,,,11.3
Measure of a Man,9,2,TNG,8,,8,Yes,Picard,Picard,8,9.1,,,,,,,,,,11.3
The Dauphin,10,2,TNG,3,,3,Neutral,Ensign Gibson,Ensign Gibson,3,6.2,,,,,,,,,,10.7
Contagion,11,2,TNG,8,,6,Yes,La Forge,La Forge,7,7.6,,,,,,,,,,10.2
The Royale,12,2,TNG,2,,2,Yes,Data,Data,2,6.6,,,,,,,,,,10.6
Time Squared,13,2,TNG,1.5,,1.5,No,Picard,Picard,1.5,7.5,,,,,,,,,,9.9
The Icarus Factor,14,2,TNG,2.5,,2,No,Troi,W.Crusher,2.25,6.2,,,,,,,,,,9.1
Pen Pals,15,2,TNG,3.5,,1.5,No,W.Crusher,W.Crusher,2.5,6.8,,,,,,,,,,9.7
Q Who,16,2,TNG,9,,8,Yes,Nobody,Nobody,8.5,8.9,,,,,,,,,,10.3
Samaritan Snare,17,2,TNG,3,,3.5,No,Pulaski,Pulaski,3.25,6.5,,,,,,,,,,10
Up the Long Ladder,18,2,TNG,0.5,,1,No,Pulaski,Pulaski,0.75,6.2,,,,,,,,,,9.2
Manhunt,19,2,TNG,0.5,,1,No,Data,Data,0.75,6.1,,,,,,,,,,8.9
The Emissary,20,2,TNG,7.5,,7,Yes,Worf,Worf,7.25,7.5,,,,,,,,,,9
Peak Performance,21,2,TNG,6.5,,6,Neutral,Worf,Worf,6.25,7.7,,,,,,,,,,9.4
Shades of Gray,22,2,TNG,0.01,,0.01,No,Pulaski,Pulaski,0.01,3.3,,,,,,,,,,9.8
Evolution,1,3,TNG,4.5,,4,Yes,Picard,Data,4.25,6.5,,,,,,,,,,
The Ensigns of Command,2,3,TNG,4,,6,Yes,Picard,Data,5,7.4,,,,,,,,,,
The Survivors,3,3,TNG,,,,,,,0,7.6,,,,,,,,,,
Who Watches The Watchers,4,3,TNG,,,,,,,0,8,,,,,,,,,,
The Bonding,5,,,,,,,,,0,6.7,,,,,,,,,,
Booby Trap,6,,,,,,,,,0,7.4,,,,,,,,,,
The Enemy,7,,,,,,,,,0,7.8,,,,,,,,,,
The Price,8,,,,,,,,,0,6.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Broken Bow,1,1,ENT,8,,7,Yes,T'Pol,Archer,7.5,,,,,,,,,,,
Fight or Flight,2,1,ENT,7,,7,Yes,Hoshi,Hoshi,7,,,,,,,,,,,
Strange New World,3,1,ENT,,,,Neutral,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Remembrance,1,1,PIC,,,,,,,0,8.2,7592,,,,,,,,,
Maps and Legends,2,1,PIC,,,,,,,0,7.3,5710,,,,,,,,,
The End Is the Beginning,3,1,PIC,,,,,,,0,7.4,5108,,,,,,,,,
Absolute Candor,4,1,PIC,,,,,,,0,7.2,4794,,,,,,,,,
Stardust City Rag,5,1,PIC,,,,,,,0,6.9,4957,,,,,,,,,
The Impossible Box,6,1,PIC,,,,,,,0,7.8,4310,,,,,,,,,
Nepenthe,7,1,PIC,,,,,,,0,8.3,4799,,,,,,,,,
Broken Pieces,8,1,PIC,,,,,,,0,7.7,4059,,,,,,,,,
"Et in Arcadia Ego, Part 1",9,1,PIC,,,,,,,0,7.2,3875,,,,,,,,,
"Et in Arcadia Ego, Part 2",10,1,PIC,,,,,,,0,7.6,4586,,,,,,,,,
The Star Gazer,1,2,PIC,,,,,,,0,8,4446,,,,,,,,,
Penance,2,2,PIC,,,,,,,0,7.9,3801,,,,,,,,,
Assimilation,3,2,PIC,,,,,,,0,7,3384,,,,,,,,,
Watcher,4,2,PIC,,,,,,,0,6.4,3610,,,,,,,,,
Fly Me To The Moon,5,2,PIC,,,,,,,0,6.6,2972,,,,,,,,,
Two of One,6,2,PIC,,,,,,,0,6.1,3033,,,,,,,,,
Monsters,7,2,PIC,,,,,,,0,5.4,3417,,,,,,,,,
Mercy,8,2,PIC,,,,,,,0,6.1,2737,,,,,,,,,
Hide and Seek,9,2,PIC,,,,,,,0,5.6,3068,,,,,,,,,
Farewell,10,2,PIC,,,,,,,0,6.8,3909,,,,,,,,,
The Next Generation,1,3,PIC,,,,,,,0,8.4,4939,,,,,,,,,
Disengage,2,3,PIC,,,,,,,0,8.2,3989,,,,,,,,,
Seventeen Seconds,3,3,PIC,,,,,,,0,8.5,3832,,,,,,,,,
No Win Scenario,4,3,PIC,,,,,,,0,9.1,4226,,,,,,,,,
Imposters,5,3,PIC,,,,,,,0,9,3809,,,,,,,,,
The Bounty,6,3,PIC,,,,,,,0,9.1,3775,,,,,,,,,
Dominion,7,3,PIC,5,,6,,,,5.5,8.2,2908,,,,,,,,,
Surrender,8,3,PIC,7.5,,7,,Data,Data,7.25,8.7,3080,,,,,,,,,
Vox,9,3,PIC,8.5,,7,,Troi,B.Crusher,7.75,9.5,4857,,,,,,,,,
The Last Generation,10,3,PIC,9,,9,,Data,Data,9,9.5,4624,,,,,,,,,
